id,pour_volume,pressure,comment,ph,hysteresis,sg,time,count,volume_unit,rssi,temp,temp_target,device_integration,fridgeTemp,report_source,percentage,device_source,bpm,roomTemp,gravity_target,battery,volume,device_state,max_volume,beer,angle,type,__acc_reading_doc_id,__acc_reading_data_id,timepoint
KOMORA,,,,,,,1750994292188,,,,9,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,CQcw4P9z8NWNEN4xqDhy,2025-06-27T03:18:12.188Z
KOMORA,,,,,,,1750990688145,,,,9,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,HpB9fkJvWVY7cUthvRft,2025-06-27T02:18:08.145Z
KOMORA,,,,,,,1750987087296,,,,9,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,9IQaqR5VrDxFhB5G1Jjs,2025-06-27T01:18:07.296Z
KOMORA,,,,,,,1750983486239,,,,9,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,pHQipobUDM6Usrbd3vke,2025-06-27T00:18:06.239Z
KOMORA,,,,,,,1750979884253,,,,9.2,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,cRlTuJkJtNUibdlPd1nX,2025-06-26T23:18:04.253Z
KOMORA,,,,,,,1750976283832,,,,9.1,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,0bym1rj8Aoxn2HSGq2Fb,2025-06-26T22:18:03.832Z
KOMORA,,,,,,,1750972684664,,,,9.1,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,vR5HhElqEqsH8P1i92oS,2025-06-26T21:18:04.664Z
KOMORA,,,,,,,1750969084449,,,,9.2,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,nd2IG2b1sEjvtuobJZKk,2025-06-26T20:18:04.449Z
KOMORA,,,,,,,1750965485084,,,,9.2,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,63OJrHW2Z1p7Yjpfo7Wt,2025-06-26T19:18:05.084Z
KOMORA,,,,,,,1750961884401,,,,9.2,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,ZiKoLriSI6fmFkf9aB5L,2025-06-26T18:18:04.401Z
KOMORA,,,,,,,1750958287350,,,,9.3,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,cqey8cACwQy1boBy7oFs,2025-06-26T17:18:07.350Z
KOMORA,,,,,,,1750954683530,,,,9.2,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,0L8Q8ySDBtHgbFFSw7Ko,2025-06-26T16:18:03.530Z
KOMORA,,,,,,,1750951083143,,,,8.5,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,yDyPRYJGnlTaYYcBpx9A,2025-06-26T15:18:03.143Z
KOMORA,,,,,,,1750947483165,,,,8.5,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,sDaqzDuxlcNaQ6ecSoRs,2025-06-26T14:18:03.165Z
KOMORA,,,,,,,1750943872458,,,,8.4,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,U7XEiyZuZGuUljaVM9gv,2025-06-26T13:17:52.458Z
KOMORA,,,,,,,1750940272238,,,,8.3,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,2um2MR1NBGjvbkzZ1hNt,2025-06-26T12:17:52.238Z
KOMORA,,,,,,,1750936672864,,,,8.3,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,pSmt55757zSBZF7CDMZm,2025-06-26T11:17:52.864Z
KOMORA,,,,,,,1750933072858,,,,8,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,4RNFW9mvhJEWHauCdR9h,2025-06-26T10:17:52.858Z
KOMORA,,,,,,,1750929471238,,,,8.2,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,0PtZgnacXsJvPH9qHvkA,2025-06-26T09:17:51.238Z
KOMORA,,,,,,,1750925873345,,,,8.2,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,3YtR3NrpZZk9GokV0mav,2025-06-26T08:17:53.345Z
KOMORA,,,,,,,1750922270323,,,,8.2,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,HYJ6taUDXkuKERaQ20Oo,2025-06-26T07:17:50.323Z
KOMORA,,,,,,,1750918819636,,,,8.2,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,HADvOpt38nDstXssmAhn,2025-06-26T06:20:19.636Z
KOMORA,,,,,,,1750915083909,,,,8,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,UtEUu5wXW0Qs9HFgvcvR,2025-06-26T05:18:03.909Z
KOMORA,,,,,,,1750911470373,,,,8.2,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,WaltIRHban1vFL9cLDTU,2025-06-26T04:17:50.373Z
KOMORA,,,,,,,1750907869247,,,,8.3,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,K93HNnFabjL1Qw5zivRi,2025-06-26T03:17:49.247Z
KOMORA,,,,,,,1750904268900,,,,8.3,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,k4uEDUXfSwIO9I3ZRzg5,2025-06-26T02:17:48.900Z
KOMORA,,,,,,,1750900664567,,,,8.3,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,5Cv6GDL0giYdNMBBdWEl,2025-06-26T01:17:44.567Z
KOMORA,,,,,,,1750897065621,,,,8.3,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,t7ufqUn1EtruqYvsfVxS,2025-06-26T00:17:45.621Z
KOMORA,,,,,,,1750893475792,,,,8,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,i3vRPdUHfVO9m78gzQFg,2025-06-25T23:17:55.792Z
KOMORA,,,,,,,1750889850226,,,,8.2,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,26o2YrQd2Rwiu9Whrj6W,2025-06-25T22:17:30.226Z
KOMORA,,,,,,,1750886251722,,,,8.1,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,8o5FUNy6u6BF8YmHFu2U,2025-06-25T21:17:31.722Z
KOMORA,,,,,,,1750882651462,,,,8.4,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,dBVVhRmNuFo1xtXYcZOx,2025-06-25T20:17:31.462Z
KOMORA,,,,,,,1750879051700,,,,8.4,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,ucqoVQnbOIAU1fWr4T3y,2025-06-25T19:17:31.700Z
KOMORA,,,,,,,1750875452812,,,,8.4,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,r54Hh4Rsth0DvbA0cx8J,2025-06-25T18:17:32.812Z
KOMORA,,,,,,,1750871850380,,,,8.6,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,ma680HkDK3sHImGuf3jD,2025-06-25T17:17:30.380Z
KOMORA,,,,,,,1750868251041,,,,9.2,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,8F5EAhcDFYYNwI0pMTrx,2025-06-25T16:17:31.041Z
