fridgeTemp,bpm,temp,sg,count,temp_target,roomTemp,gravity_target,hysteresis,device_integration,percentage,report_source,type,pour_volume,battery,device_state,comment,volume_unit,time,rssi,device_source,beer,max_volume,ph,pressure,id,volume,angle,__acc_reading_doc_id,__acc_reading_data_id,timepoint
,,-0.2,1.011,,,,,,default,,,stream,,,,,,1741955921601,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,FcJNFN2soCCEik1rfnmR,2025-03-14T12:38:41.601Z
,,-0.1,1.011,,,,,,default,,,stream,,,,,,1741952321261,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,gjlVSbgvEs1IbwMfV2IM,2025-03-14T11:38:41.261Z
,,0.2,1.011,,,,,,default,,,stream,,,,,,1741948720750,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,2Wg7sWnbNTU8QDD5Gp3m,2025-03-14T10:38:40.750Z
,,0.8,1.01,,,,,,default,,,stream,,,,,,1741945121578,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,uvwxl00NYr9KzuD8Kem3,2025-03-14T09:38:41.578Z
,,1,1.01,,,,,,default,,,stream,,,,,,1741941523024,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,QnjKZUldQyS1pt0tEjW4,2025-03-14T08:38:43.024Z
,,0,1.011,,,,,,default,,,stream,,,,,,1741937922787,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,onbvuayuW22aqNyBrXSN,2025-03-14T07:38:42.787Z
,,-0.3,1.011,,,,,,default,,,stream,,,,,,1741934323700,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,hJy1vBgMtolxjeB0O5lG,2025-03-14T06:38:43.700Z
,,-0.3,1.011,,,,,,default,,,stream,,,,,,1741930723175,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,3qnoeE25yoU1YHtvyGIE,2025-03-14T05:38:43.175Z
,,-0.1,1.011,,,,,,default,,,stream,,,,,,1741927123064,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,kUZkU9JItBGeohsXm9YR,2025-03-14T04:38:43.064Z
,,0.2,1.011,,,,,,default,,,stream,,,,,,1741923523649,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,XgQIKINThYzsVAIxyb8g,2025-03-14T03:38:43.649Z
